,user_id,views,level,kills,br_rank,br_mmr,ar_rank,ar_mmr,legend
884,VV_Cepheiii,565 views,1548.0,11370.0,Apex Predator,16502.0,Gold 3,3818AP,Bloodhound
885,ttvbreaddogouo,120 views,1149.0,7540.0,Apex Predator,18569.0,Bronze 3,682AP,Horizon
886,ceobashar,158 views,1135.0,7460.0,Apex Predator,18831.0,Bronze 4,0AP,Valkyrie
887,Tox_-Mobius,575 views,2870.0,43783.0,Apex Predator,18120.0,Master,8980AP,Pathfinder
888,Juiced6969,33 views,1271.0,15511.0,Apex Predator,16269.0,Bronze 4,0AP,Wraith
889,ShuraMojiGreyrat,12119 views,4885.0,264.0,Apex Predator,16487.0,Bronze 4,0AP,Lifeline
890,SoaR_hoIIow,3213 views,3463.0,118833.0,Apex Predator,16821.0,Bronze 4,0AP,Wraith
891,ZeroOnVacation,406 views,1640.0,2250.0,Apex Predator,17858.0,Diamond 1,7732AP,Valkyrie
892,RXT_GloryLenX,89 views,451.0,3094.0,Apex Predator,16481.0,Bronze 4,1AP,Wraith
893,zcursedtv,3562 views,1829.0,22689.0,Apex Predator,16690.0,Bronze 4,194AP,Octane
894,spxctrals,2150 views,1957.0,31627.0,Apex Predator,16476.0,Bronze 4,0AP,Wraith
895,GuhDaaym,747 views,1456.0,18264.0,Apex Predator,16469.0,Bronze 4,0AP,Pathfinder
896,ImCleos,381 views,507.0,2770.0,Apex Predator,16469.0,Bronze 4,0AP,Octane
897,LovelyNocturne,1246 views,2313.0,84.0,Apex Predator,16464.0,Bronze 1,1344AP,Horizon
898,NegoFlay,374 views,1487.0,15681.0,Apex Predator,16458.0,Bronze 4,0AP,Pathfinder
899,RealxRico,32 views,510.0,890.0,Apex Predator,16378.0,Bronze 4,0AP,Wraith
900,Funny_Mqty,1358 views,1989.0,33268.0,Apex Predator,16443.0,Bronze 4,0AP,Valkyrie
901,show_xdx,1614 views,1620.0,21195.0,Apex Predator,16697.0,Platinum 3,5200AP,Wraith
902,Tixels-,653 views,2552.0,49543.0,Apex Predator,17972.0,Bronze 1,1388AP,Pathfinder
903,SaviourHeavier,3712 views,3648.0,18.0,Apex Predator,16423.0,Bronze 4,0AP,Wattson
904,Lutziana,6823 views,3330.0,48294.0,Apex Predator,16849.0,Bronze 4,0AP,Wraith
